"event","experiment time","system time","system time text"
"START",0.000000000E0,1712133172.026,"2024-04-03 09:32:52.026 UTC+01:00"
"PAUSE",2.002022405E1,1712133192.046,"2024-04-03 09:33:12.046 UTC+01:00"
